question,answers,page,link
Should I make my own sanitizer if I can't find it in the stores ? ,"CDC recommends handwashing with soap and water for at least 20 seconds or, using alcohol-based hand sanitizer with at least 60% alcohol when soap and water are not available. These actions are part of everyday preventive actions individuals can take to slow the spread of respiratory diseases like COVID-19.

When washing hands, you can use plain soap or antibacterial soap. Plain soap is as effective as antibacterial soap at removing germs.
If soap and water are not readily available, you can use an FDA-approved alcohol-based hand sanitizer that contains at least 60% alcohol. You can tell if the sanitizer contains at least 60% alcohol by looking at the product label.
CDC does not encourage the production and use of homemade hand sanitizer products because of concerns over the correct use of the ingredientsexternal icon and the need to work under sterile conditions to make the product. Local industries that are looking into producing hand sanitizer to fill in for commercial shortages can refer to the World Health Organization guidancepdf iconexternal icon. Organizations should revert to the use of commercially produced, FDA-approved product once such supplies again become available.

To be effective against killing some types of germs, hand sanitizers need to have a strength of at least 60% alcohol and be used when hands are not visibly dirty or greasy.
Do not rely on “Do It Yourself” or “DIY” recipes based solely on essential oils or formulated without correct compounding practices.
Do not use hand sanitizer to disinfect frequently touched surfaces and objects. See CDC’s information for cleaning and sanitizing your home.",USA,https://www.cdc.gov/coronavirus/2019-ncov/faq.html
What are the symptoms and complications that covid-19 can cause ? ,"Current symptoms reported for patients with COVID-19 have included mild to severe respiratory illness with fever1, cough, and difficulty breathing.
Reported illnesses have ranged from mild symptoms to severe illness and death for confirmed coronavirus disease 2019 (COVID-19) cases.

These symptoms may appear 2-14 days after exposure (based on the incubation period of MERS-CoV viruses).

Fever
Cough
Shortness of breath",USA,https://www.cdc.gov/coronavirus/2019-ncov/faq.html
Who is most at risk for the corona virus disease?,"COVID-19 is a new disease and there is limited information regarding risk factors for severe disease. Based on currently available information and clinical expertise, older adults and people of any age who have serious underlying medical conditions might be at higher risk for severe illness from COVID-19.

Based on what we know now, those at high-risk for severe illness from COVID-19 are:

People aged 65 years and older
People who live in a nursing home or long-term care facility
People of all ages with underlying medical conditions, particularly if not well controlled, including:

People with chronic lung disease or moderate to severe asthma
People who have serious heart conditions
People who are immunocompromised
Many conditions can cause a person to be immunocompromised, including cancer treatment, smoking, bone marrow or organ transplantation, immune deficiencies, poorly controlled HIV or AIDS, and prolonged use of corticosteroids and other immune weakening medications
People with severe obesity (body mass index [BMI] ?40)
People with diabetes
People with chronic kidney disease undergoing dialysis
People with liver disease",USA,https://www.cdc.gov/coronavirus/2019-ncov/faq.html
What should people at higher risk of serious illness with covid-19 do ?,"If you are at higher risk of getting very sick from COVID-19, you should:

Stock up on supplies
Take everyday precautions to keep space between yourself and others
When you go out in public, keep away from others who are sick
Limit close contact and wash your hands often
Avoid crowds, cruise travel, and non-essential travel

If there is an outbreak in your community, stay home as much as possible. Watch for symptoms and emergency signs. If you get sick, stay home and call your doctor.",USA,https://www.cdc.gov/coronavirus/2019-ncov/faq.html
Can I get covid-19 from my pets or other animals ?,"At this time, there is no evidence that companion animals, including pets, can spread COVID-19 to people or that they might be a source of infection in the United States. To date, CDC has not received any reports of pets becoming sick with COVID-19 in the United States.

Pets have other types of coronaviruses that can make them sick, like canine and feline coronaviruses. These other coronaviruses cannot infect people and are not related to the current COVID-19 outbreak.

However, since animals can spread other diseases to people, it’s always a good idea to practice healthy habits around pets and other animals, such as washing your hands and maintaining good hygiene. For more information on the many benefits of pet ownership, as well as staying safe and healthy around animals including pets, livestock, and wildlife",USA,https://www.cdc.gov/coronavirus/2019-ncov/faq.html
How can I prevent covid-19 ?,"The best way to prevent illness is to avoid being exposed to the virus. CDC recommends everyday preventive actions to help prevent the spread of respiratory diseases.

Learn how to protect yourself and others from coronavirus.",USA,https://www.fda.gov/emergency-preparedness-and-response/coronavirus-disease-2019-covid-19/coronavirus-disease-2019-covid-19-frequently-asked-questions
What treatments are available for covid-19 ?,"People with COVID-19 should receive supportive care to help relieve symptoms. People with mild symptoms are able to recover at home. If you experience a medical emergency such as trouble breathing, call 911 and let the operator know you may have COVID-19. For severe illness, treatment should include care to support vital organ functions. 

Currently there are no FDA-approved drugs specifically for the treatment of COVID-19. Researchers are studying new drugs, and drugs that are already approved for other health conditions, as possible treatments for COVID-19. The FDA is working with drug manufacturers, researchers, and other partners to accelerate the development process for COVID-19 treatments. CDC has more information for health care providers about these potential treatments. Never take a prescription medicine or drug if it is not prescribed for you by your doctor for your health condition.",USA,https://www.fda.gov/emergency-preparedness-and-response/coronavirus-disease-2019-covid-19/coronavirus-disease-2019-covid-19-frequently-asked-questions
Are there any vaccines or other medical products to prevent covid-19 ? ,"At this time there is no vaccine to prevent coronavirus disease 2019 (COVID-19). The FDA is working with vaccine developers and other researchers and manufacturers to help expedite the development and availability of medical products such as vaccines, antibodies, and drugs to prevent COVID-19. ",USA,https://www.fda.gov/emergency-preparedness-and-response/coronavirus-disease-2019-covid-19/coronavirus-disease-2019-covid-19-frequently-asked-questions
Can covid-19 be transmitted by blood transmission ? ," In general, respiratory viruses are not known to be transmitted by blood transfusion, and there have been no reported cases of transfusion-transmitted coronavirus.",USA,https://www.fda.gov/emergency-preparedness-and-response/coronavirus-disease-2019-covid-19/coronavirus-disease-2019-covid-19-frequently-asked-questions
Is it safe to donate blood during the corona virus pandemic ? ,"If you are healthy and interested in donating blood, the FDA encourages you to contact a local donation center to make an appointment. One way to make a difference during a public health emergency is to donate blood if you are able. ",USA,https://www.fda.gov/emergency-preparedness-and-response/coronavirus-disease-2019-covid-19/coronavirus-disease-2019-covid-19-frequently-asked-questions
Are there any FDA-approved drug products or medicines to treat covid-19 ?," At this time, there are no FDA-approved drug products to treat COVID-19. The FDA is working with drug manufacturers and investigational new drug sponsors to expedite the development and availability of COVID-19 treatments.",USA,https://www.fda.gov/emergency-preparedness-and-response/coronavirus-disease-2019-covid-19/coronavirus-disease-2019-covid-19-frequently-asked-questions
Are antibiotics effective in preventing or treating the COVID-19?," No. Antibiotics do not work against viruses; they only work on bacterial infections. Antibiotics do not prevent or treat coronavirus disease (COVID-19), because COVID-19 is caused by a virus, not bacteria. Some patients with COVID-19 may also develop a bacterial infection, such as pneumonia. In that case, a health care professional may treat the bacterial infection with an antibiotic.",USA,https://www.fda.gov/emergency-preparedness-and-response/coronavirus-disease-2019-covid-19/coronavirus-disease-2019-covid-19-frequently-asked-questions
Is there a test for covid-19 ?,"Currently there is no FDA-approved or cleared test to diagnose or detect COVID-19 because the virus that causes COVID-19 is new. Therefore, the FDA has issued several Emergency Use Authorizations (EUAs) for the use of new diagnostic tests to detect the SARS-CoV-2 virus, which causes COVID-19. During public health emergencies declared under section 564 of the FD&C Act, the FDA is able to issue EUAs when certain criteria are met that allows for the use and distribution of potentially life-saving medical products to diagnose, treat, or prevent the disease, which can include diagnostic tests.",USA,https://www.fda.gov/emergency-preparedness-and-response/coronavirus-disease-2019-covid-19/coronavirus-disease-2019-covid-19-frequently-asked-questions
How are people tested for covid-19 ?,"To be tested for COVID-19, a sample is typically collected from your nose and/or throat with a special swab at a designated collection location staffed by health care professionals. Currently, a health care professional swabbing the back of the nasal cavity through the nostril is the preferred choice. Alternatively, the health care professional could may swab the back of your throat, or for patients with symptoms of COVID-19 the sample could may be collected by swabbing the inside of the front of the nose. Depending on, among other things, the type of swab used, a health care professional may collect the sample, or you may be able to collect the sample yourself at the collection site under the supervision of health care personnel.",USA,https://www.fda.gov/emergency-preparedness-and-response/coronavirus-disease-2019-covid-19/coronavirus-disease-2019-covid-19-frequently-asked-questions
Can I get covid-19 from food worker handling my food ? ,"Currently, there is no evidence of food or food packaging being associated with transmission of COVID-19. However, the virus that causes COVID-19 is spreading from person-to-person in some communities in the U.S. The CDC recommends that if you are sick, stay home until you are better and no longer pose a risk of infecting others. ",USA,https://www.fda.gov/emergency-preparedness-and-response/coronavirus-disease-2019-covid-19/coronavirus-disease-2019-covid-19-frequently-asked-questions
Can animals get covid-19 disease ? ,"According to the Centers for Disease Control and Prevention (CDC), there is no scientific evidence indicating that any animals in the United States, including pets, can spread COVID-19 or that they might be a source of infection in the United States. To date, there have been no reports of pets or other animals becoming sick with COVID-19.

The FDA is aware that more than one dog has tested positive for the virus that causes COVID-19, based on information from the Hong Kong Agriculture, Fisheries & Conservation DepartmentExternal Link Disclaimer. There is no evidence that companion animals, including pets, can spread COVID-19 or that they might be a source of infection in the United States.",USA,https://www.fda.gov/emergency-preparedness-and-response/coronavirus-disease-2019-covid-19/coronavirus-disease-2019-covid-19-frequently-asked-questions
Can I get covid-19 from my pets or other animals ?,"There is currently no evidence that pets can spread COVID-19 or that they might be a source of infection in the United States. Although there have not been reports of pets or other animals becoming sick with COVID-19, it is still recommended that people sick with COVID-19 limit contact with animals until more information is known about the new coronavirus. When possible, have another member of your household care for your animals while you are sick. If you are sick with COVID-19, avoid contact with your pet, including petting, snuggling, being kissed or licked, and sharing food. If you must care for your pet or be around animals while you are sick, wash your hands before and after you interact with pets. Global health organizations are monitoring the outbreak’s potential impact on animal health and will notify the public if new information becomes available.",USA,https://www.fda.gov/emergency-preparedness-and-response/coronavirus-disease-2019-covid-19/coronavirus-disease-2019-covid-19-frequently-asked-questions
what is the median  incubation period of corona virus ? ,A new study calculates that the median incubation period for COVID-19 is just over 5 days and that 97.5% of people who develop symptoms will do so within 11.5 days of infection.,USA,https://www.sciencedaily.com/releases/2020/03/200317175438.htm
What is corona virus,"Corona viruses are a large family of viruses which may cause illness
in animals or humans. In humans, several coronaviruses are known
to cause respiratory infections ranging from the common cold to more
severe diseases such as Middle East Respiratory Syndrome (MERS)
and Severe Acute Respiratory Syndrome (SARS). The most recently
discovered coronavirus causes coronavirus disease COVID-19. ",India,https://www.mohfw.gov.in/pdf/FAQ.pdf
What are the symptoms of COVID-19,"The most common symptoms of COVID-19 are fever, tiredness, and
dry cough. Some patients may have aches and pains, nasal
congestion, runny nose, sore throat or diarrhea. These symptoms are
usually mild and begin gradually. Some people become infected but
don’t develop any symptoms and don't feel unwell. Most people
(about 80%) recover from the disease without needing special
treatment. Around 1 out of every 6 people who gets COVID-19
becomes seriously ill and develops difficulty breathing. Older people,
and those with underlying medical problems like high blood pressure,
heart problems or diabetes, are more likely to develop serious illness.
People with fever, cough and difficulty breathing should seek medical
attention.",India,https://www.mohfw.gov.in/pdf/FAQ.pdf
How does COVID-19 spread,"People can catch COVID-19 from others who have the virus. The
disease can spread from person to person through small droplets from
the nose or mouth which are spread when a person with COVID-19
coughs or exhales. These droplets land on objects and surfaces
around the person. Other people then catch COVID-19 by touching
these objects or surfaces, then touching their eyes, nose or mouth.
People can also catch COVID-19 if they breathe in droplets from a
person with COVID-19 who coughs out or exhales droplets. This is
why it is important to stay more than 1 meter (3 feet) away from a
person who is sick. ",India,https://www.mohfw.gov.in/pdf/FAQ.pdf
Can the virus that causes COVID-19 be transmitted through the air?,"Studies to date suggest that the virus that causes COVID-19 is mainly
transmitted through contact with respiratory droplets rather than
through the air. See previous answer on “How does COVID-19
spread?” 
",India,https://www.mohfw.gov.in/pdf/FAQ.pdf
Can CoVID-19 be caught from a person who has no symptoms? ,"The main way the disease spreads is through respiratory droplets
expelled by someone who is coughing. The risk of catching COVID-19
from someone with no symptoms at all is very low. However, many
people with COVID-19 experience only mild symptoms. This is
particularly true at the early stages of the disease. It is therefore
possible to catch COVID-19 from someone who has, for example, just
a mild cough and does not feel ill. ",India,https://www.mohfw.gov.in/pdf/FAQ.pdf
Can I catch COVID-19 from the feces of someone with the disease? ,"The risk of catching COVID-19 from the feces of an infected person
appears to be low. While initial investigations suggest the virus may
be present in feces in some cases, spread through this route is not a 
main feature of the outbreak. The ongoing research on the ways
COVID-19 is spread and will continue to share new findings. Because
this is a risk, however, it is another reason to clean hands regularly,
after using the bathroom and before eating.",India,https://www.mohfw.gov.in/pdf/FAQ.pdf
What can I do to protect myself from corona virus?,"Stay aware of the latest information on the COVID-19 outbreak,
available on the national,state and local public health authority. Many
countries around the world have seen cases of COVID-19 and several
have seen outbreaks. Authorities in China and some other countries
have succeeded in slowing or stopping their outbreaks. However, the
situation is unpredictable so check regularly for the latest news.
You can reduce your chances of being infected or spreading COVID19 by taking some simple precautions:
• Regularly and thoroughly clean your hands with an alcoholbased hand rub or wash them with soap and water.
Why? Washing your hands with soap and water or using
alcohol-based hand rub kills viruses that may be on your hands.
• Maintain at least 1 metre (3 feet) distance between yourself and
anyone who is coughing or sneezing.
Why? When someone coughs or sneezes they spray small liquid
droplets from their nose or mouth which may contain virus. If you
are too close, you can breathe in the droplets, including the
COVID-19 virus if the person coughing has the disease.
• Avoid touching eyes, nose and mouth.
Why? Hands touch many surfaces and can pick up viruses.
Once contaminated, hands can transfer the virus to your eyes,
nose or mouth. From there, the virus can enter your body and
can make you sick.
• Make sure you, and the people around you, follow good
respiratory hygiene. This means covering your mouth and nose
with your bent elbow or tissue when you cough or sneeze. Then 
dispose of the used tissue immediately.
Why? Droplets spread virus. By following good respiratory
hygiene you protect the people around you from viruses such as
cold, flu and COVID-19.
• Stay home if you feel unwell. If you have a fever, cough and
difficulty breathing, seek medical attention and call in advance.
Follow the directions of your local health authority.
Why? National and local authorities will have the most up to date
information on the situation in your area. Calling in advance will
allow your health care provider to quickly direct you to the right
health facility. This will also protect you and help prevent spread
of viruses and other infections.
• Keep up to date on the latest COVID-19 hotspots (cities or local
areas where COVID-19 is spreading widely). If possible, avoid
traveling to places – especially if you are an older person or
have diabetes, heart or lung disease.
Why? You have a higher chance of catching COVID-19 in one of
these areas. ",India,https://www.mohfw.gov.in/pdf/FAQ.pdf
How likely am I to catch COVID-19?,"The risk depends on where you are - and more specifically, whether
there is a COVID-19 outbreak unfolding there.
For most people in most locations the risk of catching COVID-19 is
still low. However, there are now places around the world (cities or
areas) where the disease is spreading. For people living in, or visiting,
these areas the risk of catching COVID-19 is higher. Governments
and health authorities are taking vigorous action every time a new
case of COVID-19 is identified. Be sure to comply with any local
restrictions on travel, movement or large gatherings. Cooperating with
disease control efforts will reduce your risk of catching or spreading
COVID-19.
COVID-19 outbreaks can be contained and transmission stopped, as
has been shown in China and some other countries. Unfortunately,
new outbreaks can emerge rapidly. It’s important to be aware of the
situation where you are or intend to go. ",India,https://www.mohfw.gov.in/pdf/FAQ.pdf
Should I worry about COVID-19?,"Illness due to COVID-19 infection is generally mild, especially for
children and young adults. However, it can cause serious illness:
about 1 in every 5 people who catch it need hospital care. It is
therefore quite normal for people to worry about how the COVID-19
outbreak will affect them and their loved ones.
We can channel our concerns into actions to protect ourselves, our
loved ones and our communities. First and foremost among these
actions is regular and thorough hand-washing and good respiratory
hygiene. Secondly, keep informed and follow the advice of the local
health authorities including any restrictions put in place on travel,
movement and gatherings.",India,https://www.mohfw.gov.in/pdf/FAQ.pdf
Who is at risk of developing severe illness,"While we are still learning about how COVID-2019 affects people,
older persons and persons with pre-existing medical conditions (such
as high blood pressure, heart disease, lung disease, cancer or
diabetes) appear to develop serious illness more often than others. ",India,https://www.mohfw.gov.in/pdf/FAQ.pdf
Are antibiotics effective in preventing or treating the COVID-19?,"No. Antibiotics do not work against viruses, they only work on
bacterial infections. COVID-19 is caused by a virus, so antibiotics do
not work. Antibiotics should not be used as a means of prevention or
treatment of COVID-19. They should only be used as directed by a
physician to treat a bacterial infection. ",India,https://www.mohfw.gov.in/pdf/FAQ.pdf
Are there any medicines or therapies that can prevent or cure COVID-19 ?,"While some western, traditional or home remedies may provide
comfort and alleviate symptoms of COVID-19, there is no evidence
that current medicine can prevent or cure the disease. We does not
recommend self-medication with any medicines, including antibiotics,
as a prevention or cure for COVID-19. However, there are several
ongoing clinical trials that include both western and traditional
medicines. We will continue to provide updated information as soon
as clinical findings are available. 
",India,https://www.mohfw.gov.in/pdf/FAQ.pdf
Is there a vaccine drug or treatment for COVID-19 ? ,"Not yet. To date, there is no vaccine and no specific antiviral medicine
to prevent or treat COVID-2019. However, those affected should
receive care to relieve symptoms. People with serious illness should
be hospitalized. Most patients recover thanks to supportive care. 
Possible vaccines and some specific drug treatments are under
investigation. They are being tested through clinical trials.
The most effective ways to protect yourself and others against
COVID-19 are to frequently clean your hands, cover your cough with
the bend of elbow or tissue, and maintain a distance of at least 1
meter (3 feet) from people who are coughing or sneezing ",India,https://www.mohfw.gov.in/pdf/FAQ.pdf
Is COVID-19 the same as SARS?,"No. The virus that causes COVID-19 and the one that caused the
outbreak of Severe Acute Respiratory Syndrome (SARS) in 2003 are
related to each other genetically, but the diseases they cause are
quite different.
SARS was more deadly but much less infectious than COVID-19.
There have been no outbreaks of SARS anywhere in the world since
2003.",India,https://www.mohfw.gov.in/pdf/FAQ.pdf
Should I wear mask to protect myself ? ,"Only wear a mask if you are ill with COVID-19 symptoms (especially
coughing) or looking after someone who may have COVID-19.
Disposable face mask can only be used once. If you are not ill or
looking after someone who is ill then you are wasting a mask. There is
a world-wide shortage of masks, so We urge people to use masks
wisely.
We advises rational use of medical masks to avoid unnecessary
wastage of precious resources and mis-use of masks The most
effective ways to protect yourself and others against COVID-19 are to
frequently clean your hands, cover your cough with the bend of elbow
or tissue and maintain a distance of at least 1 meter (3 feet) from
people who are coughing or sneezing. ",India,https://www.mohfw.gov.in/pdf/FAQ.pdf
How to put on use take off and dispose of a mask?,". Remember, a mask should only be used by health workers, care takers,
and individuals with respiratory symptoms, such as fever and cough.
2. Before touching the mask, clean hands with an alcohol-based
hand rub or soap and water
3. Take the mask and inspect it for tears or holes.
4. Orient which side is the top side (where the metal strip is).
5. Ensure the proper side of the mask faces outwards (the
coloured side).
6. Place the mask to your face. Pinch the metal strip or stiff edge of
the mask so it moulds to the shape of your nose.
7. Pull down the mask’s bottom so it covers your mouth and your
chin.
8. After use, take off the mask; remove the elastic loops from
behind the ears while keeping the mask away from your face
and clothes, to avoid touching potentially contaminated surfaces
of the mask.
9. Discard the mask in a closed bin immediately after use.
10. Perform hand hygiene after touching or discarding the
mask – Use alcohol-based hand rub or, if visibly soiled, wash
your hands with soap and water. 
",India,https://www.mohfw.gov.in/pdf/FAQ.pdf
Can humans become infected with the COVID-19 from an animal source?,"Coronaviruses are a large family of viruses that are common in
animals. Occasionally, people get infected with these viruses which 
may then spread to other people. For example, SARS-CoV was
associated with civet cats and MERS-CoV is transmitted by
dromedary camels. Possible animal sources of COVID-19 have not
yet been confirmed.
To protect yourself, such as when visiting live animal markets, avoid
direct contact with animals and surfaces in contact with animals.
Ensure good food safety practices at all times. Handle raw meat, milk
or animal organs with care to avoid contamination of uncooked foods
and avoid consuming raw or undercooked animal products.",India,https://www.mohfw.gov.in/pdf/FAQ.pdf
Can I catch COVID-19 from my pet?,"While there has been one instance of a dog being infected in Hong
Kong, to date, there is no evidence that a dog, cat or any pet can
transmit COVID-19. COVID-19 is mainly spread through droplets
produced when an infected person coughs, sneezes, or speaks. To
protect yourself, clean your hands frequently and thoroughly.
We continues to monitor the latest research on this and other COVID19 topics and will update as new findings are available. ",India,https://www.mohfw.gov.in/pdf/FAQ.pdf
How long does the virus survive on surfaces?,"It is not certain how long the virus that causes COVID-19 survives on
surfaces, but it seems to behave like other corona viruses. Studies
suggest that corona viruses (including preliminary information on the
COVID-19 virus) may persist on surfaces for a few hours or up to
several days. This may vary under different conditions (e.g. type of
surface, temperature or humidity of the environment).
If you think a surface may be infected, clean it with simple disinfectant
to kill the virus and protect yourself and others. Clean your hands with 
an alcohol-based hand rub or wash them with soap and water. Avoid
touching your eyes, mouth, or nose. ",India,https://www.mohfw.gov.in/pdf/FAQ.pdf
Is it safe to receive a package from any area where COVID-19 has been reported?,"Yes. The likelihood of an infected person contaminating commercial
goods is low and the risk of catching the virus that causes COVID-19
from a package that has been moved, travelled, and exposed to
different conditions and temperature is also low. ",India,https://www.mohfw.gov.in/pdf/FAQ.pdf
Do I need to wear a mask every time I step out of the home?,"Wearing masks does more to protect others against the disease if you have it, rather than protect you from the disease if you come into contact with others who have it. More than that, high demand for masks from individuals deprives those who might need them more, such as healthcare workers. So, if you suspect you have a respiratory ailment, do wear a mask. If you feel OK, don’t.",India,https://indiabioscience.org/columns/indian-scenario/coronavirus-disease-covid-19-frequently-asked-questions
What is the government doing to contain the spread of COVID-19?,"The government is following the instructions of the WHO carefully and every level of public health machinery is aligned to it. The ministry of health is constantly updated about the numbers of cases and provides instructions to doctors and hospitals regarding the isolation and treatment of patients with the disease. The government has stopped the entry of people from countries affected by this disease by cancelling visas. Those who are suspected of having the disease are being tested. Quarantine facilities have been put into place in multiple locations. Ideally, a mechanism for testing anyone who suspects they have the disease should be put in place, but this is yet to happen.

Much will depend on how matters unfold in the near future. If there is what is called ?“community transmission” of the coronavirus, the numbers of those affected may become simply too large for the public health apparatus in India to cope with. It is for this reason that pursuing physical distancing, tracking down cases, the use of self-quarantine and monitoring of those who might develop symptoms later is crucial at this point.",India,https://indiabioscience.org/columns/indian-scenario/coronavirus-disease-covid-19-frequently-asked-questions
"Where can I go to obtain accurate, scientific, and up-to-date information about coronavirus?","The websites of the World Health Organization (WHO), the Centers for Disease Control and Prevention (CDC) of the USA and the European CDC are all accurate sources of information. The web-pages of prominent newspapers and news organizations such as the New York Times and the BBC all carry trustworthy information. A number of Indian newspapers have carried accurate and well-researched reporting on the coronavirus and can be trusted. A good idea is always to go to the original source, typically the WHO or the Ministry of Health and Family Welfare which has current advisories.",India,https://indiabioscience.org/columns/indian-scenario/coronavirus-disease-covid-19-frequently-asked-questions
How long is the incubation period for corona virus?,"The “incubation period” means the time between catching the virus and beginning to have symptoms of the disease. Most estimates of the incubation period for COVID-19 range from 1-14 days, most commonly around five days. These estimates will be updated as more data become available.",India,https://www.mohfw.gov.in/pdf/FAQ.pdf
What do we know about incubation period of corona virus?,"The incubation period for COVID-19 range from 1-14 days, most commonly around five days. ",UK,https://www.mohfw.gov.in/pdf/FAQ.pdf
